UserPrompt,Category
My son in law was diagnosed with Flu A.  I started having a cough yesterday. Today I have a headache runny nose and sore throat,New Symptoms 
"Hello, starting Tuesday I got a sore throat and cough which turned into a worse cough and coughing up green phlem sometimes. I also have congestion, runny and stuffy nose and diarrhea.",New Symptoms 
"Cough, coughing up green phlem, congestion, runny nose, stuffy nose",New Symptoms 
"Sore throat, headache",New Symptoms 
"Sore throat, headache",New Symptoms 
neuropathy in both legs,New Symptoms 
Cold sore that I’m worried might have spread to cheeks and possibly eye,New Symptoms 
obgyn,Assisted Scheduling or Find Care
"Nausea, bloating, and general GI discomfort lasting fo over 10 days",New Symptoms 
Itching and Rash under the breast,New Symptoms 
"Sore throat , congestion, pus on throat",New Symptoms 
Continuing breathing and coughing l have been referred to pulmonary but wonder if symptoms continue due to smoke inhalation. Are there blood tests to check if there is damage to my lunns. Can my pa order these are do I wait for a pulmonologist referral.,New Symptoms 
Cough/sorethroat,New Symptoms 
"For the past 2 months, there has been either dry blood or blood in the mucus in my nostrils. I am not sure if this is something to be concerned about.",New Symptoms 
I need treatment for a UTI,New Symptoms 
"I have burning sharp pain in my shin now for over 2months and it's not getting better. I done everything right, wearing orthotics, icing, elevating, resting (alot more than I would prefer).",New Symptoms 
Sever cramps heavy Bleeding  ER said,New Symptoms 
"Lower left back pain, reoccuring, most likely kidney stones.",New Symptoms 
I NEED A HIDA TEST,Services
"Fever up to 101 (within last 24 hours), croupy cough developed overnight that gets worse with crying. Lots of clear drainage from nose.",New Symptoms 
"Mucus, ongoing cough",New Symptoms 
I don’t know how to find a doctor to help me treat my Diabetic retinopathy,Assisted Scheduling or Find Care
child needs an ear nose and throat surgeon to remove tonsils,Assisted Scheduling or Find Care
"This is Rebecca Otrupcak, daughter of Michael Otrupcak and Medical Power of Attorney. Dad is experiencing delusions, talking to people not there, seeing things not there. His left eye is motionless and staring at his nose. Long term care needs to be discussed but no one is answering phone calls.",Complex symptoms
My throat is hurting I’m coughing,New Symptoms 
Hearing loss,New Symptoms 
Glaucoma,New Symptoms 
Senior Male Inguinal Hernia,New Symptoms 
Tb test,Services
Hello Dr. Anderson. My sciatica pain continues in my right leg. Right now mostly in right calf. Pain is an 8/10 when I walk. I am taking gabapentin 3x800 every 8 hours. Pain persists.  Can I make an appointment for another shot on 3/5 3/6 or 3/7,Complex symptoms
"I have a horrible ear infection that has been painful, not able to hear, severe headaches and earaches,",New Symptoms 
